,start_time,end_time,data_source,regressor_name,num_samples,num_skipped,reaction_count_mean,reaction_count_stdev,feature_generator,num_features,error
0,Sat May 20 12:33:45 2017,Sat May 20 12:37:48 2017,foxnews+nytimes+theguardian,Ridge,14582,309,5573.97622725136,16507.198274998085,text_tfidf_bow_1000,1000,0.09805876654752836
0,Sat May 20 12:33:44 2017,Sat May 20 12:34:18 2017,bild+spiegelonline+ihre.sz,Baseline,19921,1656,941.8332947119618,2648.9823406212618,text_tfidf_bow_100,100,0.13424741123542924
0,Sat May 20 12:33:44 2017,Sat May 20 12:37:54 2017,bild+spiegelonline+ihre.sz,SVRRbf,19921,1656,941.8332947119618,2648.9823406212618,text_tfidf_bow_250,250,0.131847203963136
0,Sat May 20 12:33:46 2017,Sat May 20 12:41:55 2017,bild+spiegelonline+ihre.sz,SVRSigmoid,19921,1656,941.8332947119618,2648.9823406212618,text_tfidf_bow_500,500,0.1379465904523376
0,Sat May 20 12:33:45 2017,Sat May 20 12:34:19 2017,bild+spiegelonline+ihre.sz,LinearRegression,19921,1656,941.8332947119618,2648.9823406212618,text_tfidf_bow_100,100,0.11343730039062686
0,Sat May 20 12:33:50 2017,Sat May 20 12:38:22 2017,foxnews+nytimes+theguardian,SVRPoly,14582,309,5573.97622725136,16507.198274998085,text_tfidf_bow_500,500,0.12930302639124247
0,Sat May 20 12:33:46 2017,Sat May 20 12:34:41 2017,bild+spiegelonline+ihre.sz,RandomForest,19921,1656,941.8332947119618,2648.9823406212618,text_tfidf_bow_100,100,0.1161300285717336
0,Sat May 20 12:33:46 2017,Sat May 20 12:35:12 2017,foxnews+nytimes+theguardian,SVRSigmoid,14582,309,5573.97622725136,16507.198274998085,text_tfidf_bow_100,100,0.12082232824444868
0,Sat May 20 12:33:45 2017,Sat May 20 12:39:55 2017,bild+spiegelonline+ihre.sz,GradientBoosting,19921,1656,941.8332947119618,2648.9823406212618,text_tfidf_bow_250,250,0.111945326569764
0,Sat May 20 12:33:44 2017,Sat May 20 12:38:49 2017,bild+spiegelonline+ihre.sz,Ridge,19921,1656,941.8332947119618,2648.9823406212618,text_tfidf_bow_1000,1000,0.10611561741983014
0,Sat May 20 12:33:49 2017,Sat May 20 12:38:38 2017,foxnews+nytimes+theguardian,ExtraTrees,14582,309,5573.97622725136,16507.198274998085,text_tfidf_bow_1000,1000,0.10794433177824096
0,Sat May 20 12:33:45 2017,Sat May 20 12:35:38 2017,bild+spiegelonline+ihre.sz,SVRSigmoid,19921,1656,941.8332947119618,2648.9823406212618,text_tfidf_bow_100,100,0.13181648547740246
